Project Name,LOC,# of Classes,# of Pattern Classes,# of Non-Pattern Classes
ProjectA,5200,25,10,15
ProjectB,7500,32,12,20
ProjectC,6100,28,9,19
ProjectD,8400,40,15,25
ProjectE,9200,45,18,27
ProjectF,5600,27,10,17
ProjectG,7000,30,12,18
ProjectH,6500,29,11,18
ProjectI,8100,38,14,24
ProjectJ,5900,26,10,16
ProjectK,8800,42,16,26
ProjectL,5300,24,9,15
ProjectM,7600,33,13,20
ProjectN,6700,30,11,19
ProjectO,9400,47,19,28
ProjectP,5800,26,10,16
ProjectQ,7200,31,12,19
ProjectR,6300,29,11,18
ProjectS,8200,39,15,24
ProjectT,6000,27,10,17
ProjectU,8700,41,16,25
ProjectV,5500,25,9,16
ProjectW,7800,34,13,21
ProjectX,6600,30,11,19
ProjectY,9000,44,17,27
ProjectZ,5800,26,10,16
Project[,7100,32,12,20
Project\,6400,29,11,18
Project],8300,39,15,24
Project^,5600,26,10,16
