Project Name,Class Type,Maintainability Index,Cyclomatic Complexity,CBO,LCOM
ProjectA,Pattern,78,5,2,0.2
ProjectA,Non-Pattern,65,8,4,0.45
ProjectB,Pattern,78,5,2,0.2
ProjectB,Non-Pattern,65,8,4,0.45
ProjectC,Pattern,78,5,2,0.2
ProjectC,Non-Pattern,65,8,4,0.45
ProjectD,Pattern,78,5,2,0.2
ProjectD,Non-Pattern,65,8,4,0.45
ProjectE,Pattern,78,5,2,0.2
ProjectE,Non-Pattern,65,8,4,0.45
ProjectF,Pattern,78,5,2,0.2
ProjectF,Non-Pattern,65,8,4,0.45
ProjectG,Pattern,78,5,2,0.2
ProjectG,Non-Pattern,65,8,4,0.45
ProjectH,Pattern,78,5,2,0.2
ProjectH,Non-Pattern,65,8,4,0.45
ProjectI,Pattern,78,5,2,0.2
ProjectI,Non-Pattern,65,8,4,0.45
ProjectJ,Pattern,78,5,2,0.2
ProjectJ,Non-Pattern,65,8,4,0.45
ProjectK,Pattern,78,5,2,0.2
ProjectK,Non-Pattern,65,8,4,0.45
ProjectL,Pattern,78,5,2,0.2
ProjectL,Non-Pattern,65,8,4,0.45
ProjectM,Pattern,78,5,2,0.2
ProjectM,Non-Pattern,65,8,4,0.45
ProjectN,Pattern,78,5,2,0.2
ProjectN,Non-Pattern,65,8,4,0.45
ProjectO,Pattern,78,5,2,0.2
ProjectO,Non-Pattern,65,8,4,0.45
ProjectP,Pattern,78,5,2,0.2
ProjectP,Non-Pattern,65,8,4,0.45
ProjectQ,Pattern,78,5,2,0.2
ProjectQ,Non-Pattern,65,8,4,0.45
ProjectR,Pattern,78,5,2,0.2
ProjectR,Non-Pattern,65,8,4,0.45
ProjectS,Pattern,78,5,2,0.2
ProjectS,Non-Pattern,65,8,4,0.45
ProjectT,Pattern,78,5,2,0.2
ProjectT,Non-Pattern,65,8,4,0.45
ProjectU,Pattern,78,5,2,0.2
ProjectU,Non-Pattern,65,8,4,0.45
ProjectV,Pattern,78,5,2,0.2
ProjectV,Non-Pattern,65,8,4,0.45
ProjectW,Pattern,78,5,2,0.2
ProjectW,Non-Pattern,65,8,4,0.45
ProjectX,Pattern,78,5,2,0.2
ProjectX,Non-Pattern,65,8,4,0.45
ProjectY,Pattern,78,5,2,0.2
ProjectY,Non-Pattern,65,8,4,0.45
ProjectZ,Pattern,78,5,2,0.2
ProjectZ,Non-Pattern,65,8,4,0.45
Project[,Pattern,78,5,2,0.2
Project[,Non-Pattern,65,8,4,0.45
Project\,Pattern,78,5,2,0.2
Project\,Non-Pattern,65,8,4,0.45
Project],Pattern,78,5,2,0.2
Project],Non-Pattern,65,8,4,0.45
Project^,Pattern,78,5,2,0.2
Project^,Non-Pattern,65,8,4,0.45
